Index,City,lon,lat
527,Vals-les-Bains,"4,36487","44,66515"
528,Privas,"4,599039","44,735269"
529,Ivrea,"7,9038647","45,4502845"
530,Cologne,"6,9602786","50,937531"
531,Ch�teaulin,"-4,094207","48,195389"
532,La Baule,"-2,3913777","47,2869183"
533,Ax-les-Thermes,"1,837545","42,720254"
534,Hy�res,"6,128639","43,120541"
535,Toulon,"5,928","43,124228"
536,Peyrehorade,"-1,097208","43,545627"
537,Val d'Is�re,"6,980226","45,448034"
538,Arbois,"5,772342","46,902851"
539,Herentals,"4,8355946","51,1768541"
540,Pont l'Ev�que,"0,182766","49,284982"
541,Saint-Nazaire,"-2,213848","47,2734979"
542,Antibes,"7,125102","43,580418"
543,Bourgoin,"5,27212","45,597108"
544,Pontoise,"2,100645","49,50966"
545,Chalon-sur-Sa�ne,"4,853947","46,780764"
546,Namur,"4,8719854","50,4673883"
547,Blain,"-1,764935","47,475279"
548,Puy de D�me,"2,9624505","45,7720165"
549,Saint-Vincent,"-92,339372","34,750467"
550,Seurre,"5,145516","46,999317"
551,Ghent,"3,7174243","51,543422"
552,Le Tr�port,"1,382472","50,5917"
553,B�doin,"5,1803739","44,124008"
554,"Circuit de la Prairie, Caen","-0,370817","49,17776"
555,Cannes,"7,017369","43,552847"
556,Montju�c circuit,"2,1536874","41,3669009"
557,"Barcelona ","2,1734035","41,3850639"
558,Circuit de Rouen-Les-Essarts,"1,0107009","49,3336877"
559,Z�rich,"8,541694","47,3768866"
560,Ch�tellerault,"0,548146","46,816487"
561,Amsterdam,"4,8951679","52,3702157"
562,Beveren,"4,2581649","51,2132494"
563,Le Puy,"3,882936","45,42768"
564,Aix les Bains,"5,908998","45,692341"
565,Epinal,"6,449403","48,172402"
566,St. Etienne,"4,3871779","45,439695"
567,Vichy,"-95,9479748","36,7407622"
568,La Guerche-de-Bretagne,"-1,230696","47,941933"
569,St. Brieuc,"-2,765835","48,51418"
570,Niort,"-0,464777","46,323716"
571,Menton,"-71,048219","42,3505213"
572,Boulogne-sur-Mer,"1,613334","50,725231"
573,Aosta,"7,3130762","45,7349551"
574,Trouville,"0,082808","49,366289"
575,Sanremo,"7,7760567","43,8159671"
576,Saint-Rapha�l,"6,76837","43,42519"
577,D�le,"5,49081","47,9534"
578,La Roche-sur-Yon,"-1,426442","46,670511"
579,Arcachon,"-1,1785016","44,652297"
580,Laon,"3,61989","49,564133"
581,Saint-Quentin,"3,2874","49,847066"
582,Lons-le-Saunier,"5,550796","46,671361"
583,Champagnole,"5,905725","46,746091"
584,Evian,"6,590949","46,401488"
585,La Roche sur Yon,"-1,426442","46,670511"
586,Malo-les-Bains,"2,401069","51,48679"
587,Les Sables d'Olonne,"-1,795493","46,492958"
588,Dunkerque,"2,3767763","51,343684"
589,M�lhausen,"7,335888","47,750839"
590,Gex,"-93,912339","35,139001"
591,Longwy,"5,761773","49,519919"
592,Douai,"3,080602","50,367874"
593,La Planche des Belles Filles,"6,774211","47,767158"
594,Nuits-Saint-Georges,"4,9503199","47,137985"
595,Peyragudes,"0,4601674","42,7830502"
596,Romans-sur-Is�re,"5,052735","45,44236"
597,Col d'Izoard,"6,734978","44,819732"
598,Salon-de-Provence,"5,097022","43,640199"
599,Utah Beach,"-1,1818896","49,4230363"
600,Cherbourg-en-Cotentin,"-1,6188109","49,6288218"
601,Le Lioran,"2,7488015","45,819145"
602,Lac de Payolle,"0,297222","42,934444"
603,Andorra-Arcalis,"1,4992993","42,6313635"
604,Chalet Reynard,"5,3189936","44,1523991"
605,La Caverne du Pont-d'Arc,"4,4301879","44,4061473"
606,Villars-les-Dombes,"5,029107","46,2114"
607,Culoz,"5,781229","45,8476209"
608,Finhaut-�mosson,"6,9141893","46,831928"
609,Saint Gervais-les-Bains,"6,712187","45,892013"
610,Zeeland,"3,8496815","51,4940309"
611,M�r-de-Bretagne,"-2,987594","48,201707"
612,La Pierre Saint-Martin,"-0,7468616","42,9779986"
613,Plateau de Beille,"1,702387","42,709683"
614,Pra-Loup,"6,601403","44,369909"
615,La Toussuire - Les Sybelles,"6,267587","45,241021"
616,Harrogate,"-1,541812","53,99212"
617,Sheffield,"-1,470085","53,381129"
618,Lille Metropole,"3,137459","50,6320509"
